movie_name,year,duration,imdb_rating,vote_count,metascore,storyline,url
Avengers: Endgame,2019,3h 1m,8.4,1.4M,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",https://www.imdb.com/title/tt4154796/
365 Days,2020,1h 54m,3.3,108K,N/A,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",https://www.imdb.com/title/tt10886166/
Tyrannosaur,2011,1h 32m,7.5,35K,65,"Joseph, a man plagued by violence and a rage that is driving him to self-destruction, earns a chance of redemption that appears in the form of Hannah, a Christian charity shop worker.",https://www.imdb.com/title/tt1204340/
How to Train Your Dragon,2025,2h 5m,7.7,130K,61,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to both species forging a new future together.",https://www.imdb.com/title/tt26743210/
Die My Love,2025,1h 59m,6.0,42K,72,"Grace, a writer and young mother, is suffering from post partum depression and slowly spiralling into madness. Moving into an old house with her husband, Jackson, her mind begins to unravel as she becomes increasingly agitated and erratic.",https://www.imdb.com/title/tt9362736/
Knives Out,2019,2h 10m,7.9,874K,82,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.",https://www.imdb.com/title/tt8946378/
Caught Stealing,2025,1h 47m,6.8,77K,65,"When his neighbor asks him to take care of his cat, a former baseball prodigy now working as a bartender finds himself in the middle of gangsters without knowing why. He must use all his cunning to survive and understand what is happening.",https://www.imdb.com/title/tt1493274/
Alpha,2025,2h 8m,5.9,3.3K,56,"Alpha, a troubled 13-year-old lives with her single mom. Their world collapses the day she returns from school with a tattoo on her arm.",https://www.imdb.com/title/tt32275943/
Memento,2000,1h 53m,8.4,1.4M,83,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,https://www.imdb.com/title/tt0209144/
Rounders,1998,2h 1m,7.3,169K,53,A law student and his pal gamble for high stakes.,https://www.imdb.com/title/tt0128442/
The Little Things,2021,2h 8m,6.3,141K,54,A deputy sheriff and a sergeant search for a serial killer who's terrorizing Los Angeles.,https://www.imdb.com/title/tt10016180/
The Testament of Ann Lee,2025,2h 16m,6.6,6.2K,80,"Ann Lee, the founding leader of the Shaker Movement, is proclaimed as the female Christ by her followers. This film depicts her establishment of a utopian society and the Shakers' worship through song and dance, based on real events.",https://www.imdb.com/title/tt34819091/
City of God,2002,2h 10m,8.6,868K,79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://www.imdb.com/title/tt0317248/
Gone Girl,2014,2h 29m,8.1,1.2M,79,The husband of a missing woman becomes the main suspect in her disappearance.,https://www.imdb.com/title/tt2267998/
The Devil Wears Prada,2006,1h 49m,7.0,529K,62,"With an aspiration to become a journalist, Andy, a smart but sensible young graduate, travels to New York. She starts working as an assistant to one of the city's biggest high fashion magazine editors, the cynical Miranda Priestly.",https://www.imdb.com/title/tt0458352/
Everything Everywhere All at Once,2022,2h 19m,7.7,626K,81,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,https://www.imdb.com/title/tt6710474/
Speak No Evil,2024,1h 50m,6.8,132K,66,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",https://www.imdb.com/title/tt27534307/
Oldboy,2003,2h,8.3,715K,78,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",https://www.imdb.com/title/tt0364569/
Blue Moon,2025,1h 40m,6.8,22K,78,"Tells the story of Lorenz Hart's struggles with alcoholism and mental health as he tries to save face during the opening of ""Oklahoma!"".",https://www.imdb.com/title/tt32536315/
Good Will Hunting,1997,2h 6m,8.4,1.2M,71,"A therapist counsels Will Hunting, a janitor with a genius IQ.",https://www.imdb.com/title/tt0119217/
Them!,1954,1h 34m,7.2,27K,74,The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.,https://www.imdb.com/title/tt0047573/
Kill Bill: Vol. 1,2003,1h 51m,8.2,1.3M,69,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://www.imdb.com/title/tt0266697/
One Mile,2026,1h 29m,5.6,2.1K,N/A,"An ex-special forces operative goes off-the-grid when his daughter is kidnapped by a violent community. Alone and outnumbered, he's forced to use every skill he has to track them down, take them apart, and bring his daughter home.",https://www.imdb.com/title/tt24326458/
Road House,2024,2h 1m,6.2,184K,57,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",https://www.imdb.com/title/tt3359350/
The Thursday Murder Club,2025,1h 58m,6.5,85K,60,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hands.",https://www.imdb.com/title/tt12001534/
Thunderbolts*,2025,2h 7m,7.1,272K,68,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.",https://www.imdb.com/title/tt20969586/
Killers of the Flower Moon,2023,3h 26m,7.5,305K,89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",https://www.imdb.com/title/tt5537002/
The Naked Gun,2025,1h 25m,6.3,123K,75,"Following in his father's footsteps, a detective works to solve a murder case and save his police department from closure.",https://www.imdb.com/title/tt3402138/
Poor Things,2023,2h 21m,7.7,390K,88,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",https://www.imdb.com/title/tt14230458/
Eyes Wide Shut,1999,2h 39m,7.5,427K,69,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.",https://www.imdb.com/title/tt0120663/
Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,1.2M,89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",https://www.imdb.com/title/tt0338013/
Dead of Winter,2025,1h 38m,6.1,19K,69,"A woman, travelling alone through snowbound northern Minnesota, interrupts the kidnapping of a teenage girl. Hours from the nearest town and with no phone service, she realizes that she is the young girl's only hope.",https://www.imdb.com/title/tt7574556/
Love,2015,2h 15m,6.1,74K,51,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",https://www.imdb.com/title/tt3774694/
Protector,2025,1h 31m,5.3,681,41,"Former war hero Nikki's peaceful life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child.",https://www.imdb.com/title/tt34471850/
Twilight,2008,2h 2m,5.4,525K,56,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",https://www.imdb.com/title/tt1099212/
Deep Water,N/A,1h 50m,N/A,N/A,N/A,A group of international passengers en route from Los Angeles to Shanghai are forced to make an emergency landing in shark-infested waters. Now they must work together in hopes to overcome the frenzy of sharks drawn to the wreckage.,https://www.imdb.com/title/tt29516222/
John Wick,2014,1h 41m,7.5,825K,68,"John Wick is a former hitman grieving the loss of his true love. When his home is broken into, robbed, and his dog killed, he is forced to return to action to exact revenge.",https://www.imdb.com/title/tt2911666/
Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,784K,87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://www.imdb.com/title/tt4633694/
Irreversible,2002,1h 37m,7.3,162K,51,Events over the course of one traumatic night in Paris unfold in reverse-chronological order.,https://www.imdb.com/title/tt0290673/
Greenland,2020,1h 59m,6.4,167K,64,"To save his family from a catastrophic end of times, a man embarks on a risky quest to locate the last hope for salvation and witness the worst of mankind in the battle for survival.",https://www.imdb.com/title/tt7737786/
Materialists,2025,1h 56m,6.2,94K,70,An ambitious young New York City matchmaker finds herself torn between the perfect match and her imperfect ex.,https://www.imdb.com/title/tt30253473/
The Woman in Cabin 10,2025,1h 32m,5.8,68K,41,A journalist stumbles upon a gruesome secret while traveling aboard a luxury cruise ship.,https://www.imdb.com/title/tt7130300/
The Mask,1994,1h 41m,7.0,469K,59,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,https://www.imdb.com/title/tt0110475/
Wicked,2024,2h 40m,7.3,228K,73,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",https://www.imdb.com/title/tt1262426/
The Hunger Games: Sunrise on the Reaping,N/A,N/A,N/A,N/A,N/A,"Explores Panem 24 years before Katniss' saga, starting on the morning of the reaping for the 50th Hunger Games, where a young Haymitch Abernathy participates.",https://www.imdb.com/title/tt32558705/
Honey Don't!,2025,1h 29m,5.2,25K,46,A small-town private investigator delves into a series of strange deaths tied to a mysterious church.,https://www.imdb.com/title/tt30645201/
Requiem for a Dream,2000,1h 42m,8.3,971K,71,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,https://www.imdb.com/title/tt0180093/
A Quiet Place: Day One,2024,1h 39m,6.3,175K,68,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,https://www.imdb.com/title/tt13433802/
Star Wars: The Mandalorian and Grogu,N/A,2h 20m,N/A,N/A,N/A,"Once a lone bounty hunter, Mandalorian Din Djarin and his apprentice Grogu embark on an exciting new Star Wars adventure.",https://www.imdb.com/title/tt30825738/
The Dark Knight Rises,2012,2h 44m,8.4,2M,78,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",https://www.imdb.com/title/tt1345836/
Code 3,2025,1h 44m,7.2,17K,N/A,"A burnt-out two-man paramedic crew and their student trainee ride-along embark on a 24-hour shift that exposes the funny, tragic, and broken aspects of the health-care system.",https://www.imdb.com/title/tt26394837/
The Shadow's Edge,2025,2h 21m,7.1,10K,N/A,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,https://www.imdb.com/title/tt34610311/
Incendies,2010,2h 11m,8.3,249K,80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,https://www.imdb.com/title/tt1255953/
The Hunger Games,2012,2h 22m,7.2,1.1M,68,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,https://www.imdb.com/title/tt1392170/
The Truman Show,1998,1h 43m,8.2,1.4M,90,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,https://www.imdb.com/title/tt0120382/
Iron Lung,2026,2h 5m,6.5,19K,54,"In a post-apocalyptic future after ""The Quiet Rapture"" event, a convict explores a blood ocean on a desolate moon using a submarine called the ""Iron Lung"" to search for missing stars/planets.",https://www.imdb.com/title/tt27564844/
Fargo,1996,1h 38m,8.1,785K,88,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,https://www.imdb.com/title/tt0116282/
Relay,2024,1h 52m,7.0,34K,70,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,https://www.imdb.com/title/tt11539996/
Return to Silent Hill,2026,1h 46m,4.0,17K,34,"When a man receives a mysterious letter from his lost love, he is drawn to Silent Hill, a once familiar town now consumed by darkness.",https://www.imdb.com/title/tt22868010/
Moonfall,2022,2h 10m,5.2,112K,41,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,https://www.imdb.com/title/tt5834426/
Pizza Movie,2026,1h 32m,5.9,1.7K,64,"High college students face an unexpectedly epic journey when they must navigate two flights of stairs to retrieve their pizza delivery, turning a simple task into a surreal adventure.",https://www.imdb.com/title/tt37209937/
In the Blink of an Eye,2026,1h 34m,6.1,5K,37,"Three storylines, spanning thousands of years, intersect and reflect on hope, connection and the circle of life.",https://www.imdb.com/title/tt6341826/
Saving Private Ryan,1998,2h 49m,8.6,1.6M,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",https://www.imdb.com/title/tt0120815/
We Bury the Dead,2024,1h 34m,5.6,11K,61,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",https://www.imdb.com/title/tt29713093/
L.A. Confidential,1997,2h 18m,8.2,658K,91,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://www.imdb.com/title/tt0119488/
"The Good, the Bad and the Ugly",1966,2h 58m,8.8,889K,90,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/
Barbie,2023,1h 54m,6.8,666K,80,"Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.",https://www.imdb.com/title/tt1517268/
Tenet,2020,2h 30m,7.3,682K,69,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",https://www.imdb.com/title/tt6723592/
Jumanji 3,N/A,N/A,N/A,N/A,N/A,"The third and final installment in the Jumanji franchise, it is the direct sequel to Jumanji: The Next Level, the second film in the series.",https://www.imdb.com/title/tt26735127/
The Gentlemen,2019,1h 53m,7.8,455K,51,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",https://www.imdb.com/title/tt8367814/
The Astronaut,2025,1h 30m,4.8,8.6K,40,"When an astronaut crash-lands back to Earth, a General places her in quarantine for rehabilitation and testing. As disturbing events unfold, she fears that something extraterrestrial has followed her home.",https://www.imdb.com/title/tt13964560/
Jack Reacher,2012,2h 10m,7.0,391K,50,"Jack Reacher, a homicide investigator, digs deeper into a case involving a trained military sniper responsible for a mass shooting.",https://www.imdb.com/title/tt0790724/
Fifty Shades of Grey,2015,2h 5m,4.2,355K,46,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",https://www.imdb.com/title/tt2322441/
A Big Bold Beautiful Journey,2025,1h 49m,6.0,20K,43,"Two strangers who meet at a mutual friend's wedding have the chance to relive important moments from their pasts, illuminating the path that led them to the present and gaining the opportunity to change their futures.",https://www.imdb.com/title/tt13650700/
American Psycho,2000,1h 42m,7.6,833K,64,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",https://www.imdb.com/title/tt0144084/
Bullet Train,2022,2h 7m,7.3,531K,49,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,https://www.imdb.com/title/tt12593682/
Mickey 17,2025,2h 17m,6.7,241K,72,"During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet.",https://www.imdb.com/title/tt12299608/
Superbad,2007,1h 53m,7.6,691K,76,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,https://www.imdb.com/title/tt0829482/
Apocalypse Now,1979,2h 27m,8.4,768K,94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://www.imdb.com/title/tt0078788/
Saltburn,2023,2h 11m,7.0,264K,61,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",https://www.imdb.com/title/tt17351924/
Guardians of the Galaxy,2014,2h 1m,8.0,1.4M,76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,https://www.imdb.com/title/tt2015381/
Léon: The Professional,1994,1h 50m,8.5,1.3M,64,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge.",https://www.imdb.com/title/tt0110413/
The Hunt,2012,1h 55m,8.3,408K,77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",https://www.imdb.com/title/tt2106476/
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,605K,88,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,https://www.imdb.com/title/tt5027774/
Barbarian,2022,1h 42m,7.0,258K,78,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,https://www.imdb.com/title/tt15791034/
Wind River,2017,1h 47m,7.7,314K,73,A wildlife officer helps a rookie FBI agent investigate the murder of a young woman on an American Indian reservation in Wyoming.,https://www.imdb.com/title/tt5362988/
Catch Me If You Can,2002,2h 21m,8.1,1.2M,75,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",https://www.imdb.com/title/tt0264464/
The Shallows,2016,1h 26m,6.3,153K,59,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",https://www.imdb.com/title/tt4052882/
Harry Potter and the Goblet of Fire,2005,2h 37m,7.7,750K,81,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",https://www.imdb.com/title/tt0330373/
The Handmaiden,2016,2h 25m,8.1,202K,85,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",https://www.imdb.com/title/tt4016934/
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.6,1.2M,84,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",https://www.imdb.com/title/tt0073486/
Worldbreaker,2025,1h 35m,4.3,2.6K,N/A,A father hides his daughter on an island to keep her safe while he equips her for survival and the battles ahead.,https://www.imdb.com/title/tt14264694/
Snatch,2000,1h 42m,8.2,974K,55,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://www.imdb.com/title/tt0208092/
Dead Poets Society,1989,2h 8m,8.1,648K,79,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",https://www.imdb.com/title/tt0097165/
The Godfather Part II,1974,3h 22m,9.0,1.5M,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/
The Invisible Man,2020,2h 4m,7.1,283K,72,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",https://www.imdb.com/title/tt1051906/
The Passion of the Christ,2004,2h 7m,7.3,272K,47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",https://www.imdb.com/title/tt0335345/
The Virgin of the Quarry Lake,2025,1h 33m,6.5,1.1K,N/A,Follows a jealous girl who enlists the help of magic to interfere with a relationship involving the apple of her eye.,https://www.imdb.com/title/tt15460036/
The Amazing Spider-Man,2012,2h 16m,6.9,762K,66,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",https://www.imdb.com/title/tt0948470/
Licorice Pizza,2021,2h 13m,7.1,160K,90,"A young man and a young woman grow up, run around, and fall in love in the San Fernando Valley, 1973.",https://www.imdb.com/title/tt11271038/
Dangerous Animals,2025,1h 38m,6.4,33K,65,"When Zephyr, a savvy and free-spirited surfer, is abducted by a shark-obsessed serial killer and held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",https://www.imdb.com/title/tt32299316/
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,1M,85,"Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his army.",https://www.imdb.com/title/tt1201607/
The Princess Bride,1987,1h 38m,8.0,485K,78,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",https://www.imdb.com/title/tt0093779/
A Great Awakening,2026,2h 9m,7.5,132,N/A,One of the most defining moments in American history is the story of an unlikely friendship between the Reverend George Whitefield and Benjamin Franklin.,https://www.imdb.com/title/tt33305882/
Anyone But You,2023,1h 43m,6.1,171K,52,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",https://www.imdb.com/title/tt26047818/
Hereditary,2018,2h 7m,7.3,453K,87,A grieving family is haunted by tragic and disturbing occurrences.,https://www.imdb.com/title/tt7784604/
I Can Only Imagine 2,2026,1h 50m,7.1,965,43,"Bart Millard, lead singer of MercyMe, faces a personal crisis at the peak of his success. As his world unravels, he struggles with his beliefs and inner demons while seeking a path through adversity.",https://www.imdb.com/title/tt34888646/
The Ugly Stepsister,2025,1h 49m,7.0,43K,70,"Elvira battles against her gorgeous stepsister in a realm where beauty reigns supreme. She resorts to extreme measures to captivate the prince, amid a ruthless competition for physical perfection.",https://www.imdb.com/title/tt29344903/
Melania,2026,1h 44m,1.6,66K,5,"An intimate chronicle offers a rare glimpse into the life of Melania Trump, exploring her role as First Lady and her relationship with the President.",https://www.imdb.com/title/tt35291758/
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,1.9M,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com/title/tt0167261/
Good Boy,2025,1h 12m,6.1,30K,73,"A loyal dog moves to a rural family home with his owner, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",https://www.imdb.com/title/tt35521922/
10 Things I Hate About You,1999,1h 37m,7.4,447K,70,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.",https://www.imdb.com/title/tt0147800/
Deadpool & Wolverine,2024,2h 8m,7.5,563K,56,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",https://www.imdb.com/title/tt6263850/
In the Grey,N/A,1h 38m,N/A,N/A,N/A,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back-an impossible heist that erupts into a deadly game of strategy, deception and survival.",https://www.imdb.com/title/tt27681354/
Troy,2004,2h 43m,7.3,614K,56,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.",https://www.imdb.com/title/tt0332452/
The Place Beyond the Pines,2012,2h 20m,7.3,308K,68,A stunt rider turns into a robber in order to lead a happy life with his child and lover and grabs the attention of a police officer. They both get on a collision course that affects their families.,https://www.imdb.com/title/tt1817273/
Mortal Kombat II,N/A,1h 56m,N/A,N/A,N/A,The fan favorite champions -- now joined by Johnny Cage himself -- are pitted against one another in the ultimate battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.,https://www.imdb.com/title/tt17490712/
Pride & Prejudice,2005,2h 9m,7.8,375K,82,"When Elizabeth Bennet meets the handsome Mr. Darcy, she believes he is the last man she could ever marry, but as their lives become intertwined, she finds herself captivated by the man she has sworn to hate forever.",https://www.imdb.com/title/tt0414387/
Life Is Beautiful,1997,1h 56m,8.6,810K,58,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://www.imdb.com/title/tt0118799/
Don't Look Up,2021,2h 18m,7.1,668K,49,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,https://www.imdb.com/title/tt11286314/
The Gray Man,2022,2h 2m,6.5,271K,49,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",https://www.imdb.com/title/tt1649418/
Green Book,2018,2h 10m,8.2,680K,69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,https://www.imdb.com/title/tt6966692/
Faces of Death,N/A,1h 38m,N/A,N/A,N/A,"A woman, employed as a website content moderator, comes across a series of violent videos reproducing death scenes from a film.",https://www.imdb.com/title/tt14619456/
It,2017,2h 15m,7.3,693K,69,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",https://www.imdb.com/title/tt1396484/
Exit 8,2025,1h 35m,6.4,12K,63,"A man becomes increasingly desperate when he realizes he is trapped in a subway station, needing to complete a mission to get out.",https://www.imdb.com/title/tt35222590/
Kingdom of Heaven,2005,2h 24m,7.3,352K,63,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",https://www.imdb.com/title/tt0320661/
28 Days Later,2002,1h 53m,7.5,544K,73,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.",https://www.imdb.com/title/tt0289043/
Boogie Nights,1997,2h 35m,7.9,305K,86,An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.,https://www.imdb.com/title/tt0118749/
Spirited Away,2001,2h 4m,8.6,962K,96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",https://www.imdb.com/title/tt0245429/
Kill Bill: The Whole Bloody Affair,2004,4h 13m,8.8,33K,95,"A female assassin seeks revenge on her former lover and squad members, all of whom left her for dead.",https://www.imdb.com/title/tt6019206/
American History X,1998,1h 59m,8.5,1.3M,62,A white supremacist is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.,https://www.imdb.com/title/tt0120586/
Borderlands,2024,1h 41m,4.7,57K,26,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.",https://www.imdb.com/title/tt4978420/
2001: A Space Odyssey,1968,2h 29m,8.3,781K,84,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/
Batman Begins,2005,2h 20m,8.2,1.7M,70,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",https://www.imdb.com/title/tt0372784/
Civil War,2024,1h 49m,7.0,266K,75,"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown.",https://www.imdb.com/title/tt17279496/
Jumanji: Welcome to the Jungle,2017,1h 59m,6.9,500K,58,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",https://www.imdb.com/title/tt2283362/
Together,2025,1h 42m,6.7,75K,75,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to corrupt their lives, their love and their flesh.",https://www.imdb.com/title/tt31184028/
